internal_transfer_id,operation_type,transfer_reference,scheduled_date,effective_date,created_date,updated_date,back_order,source_document,transfer_state,source_location,destination_location,transfer_amount
4326,Receipts,WH/IN/06467,2021-04-22 00:36:15.000000,2021-04-26 21:56:09.000000,2021-04-01 01:03:44.109520,2021-04-26 21:56:08.744134,,PO05078,done,Partner Locations/Vendors,WH/Input,
4214,Pick Components,WH/PC/00788,2021-03-25 03:32:51.000000,2021-03-25 03:36:06.000000,2021-03-25 03:33:14.098762,2021-03-25 03:36:06.007186,,MO/03717,done,WH/Stock,WH/WIP,
3814,Delivery Orders,WH/OUT/00041,2021-01-28 22:30:33.000000,2021-04-06 01:56:10.000000,2021-03-04 22:50:19.574548,2021-04-06 01:56:10.179209,WH/OUT/00039,WH/IN/05935,done,WH/Stock,Partner Locations/Baraja Pty Ltd: Subcontracting Location,
3780,Receipts,WH/IN/06238,2021-03-24 02:48:48.000000,2021-04-13 23:07:57.000000,2021-03-03 04:46:27.515441,2021-04-13 23:07:57.321840,,PO04931,done,Partner Locations/Vendors,WH/Input,100.0
4613,Goods Inwards Inspection,WH/GI/605,2021-01-31 23:13:56.000000,2021-04-27 03:45:04.000000,2021-04-22 03:07:35.723665,2021-04-27 03:45:00.352216,WH/GI/453,PO04613,done,WH/Input,WH/Stock,
4528,Pick Components,WH/PC/00854,2021-04-18 22:55:49.000000,2021-04-19 00:21:56.000000,2021-04-18 23:11:45.591318,2021-04-19 00:21:55.261084,,MO/03774,done,WH/Stock,WH/WIP,
4537,Pick Components,WH/PC/00862,2021-04-19 01:22:11.000000,2021-04-19 01:22:52.000000,2021-04-19 01:22:26.625492,2021-04-19 01:22:52.113727,,MO/03782,done,WH/Stock,WH/WIP,
4397,Receipts,WH/IN/06504,2021-04-14 00:33:17.000000,2021-04-15 05:41:32.000000,2021-04-09 00:37:17.528774,2021-04-15 05:41:32.158780,,PO05106,done,Partner Locations/Vendors,WH/Input,
3857,Receipts,WH/IN/06270,2021-03-22 00:59:17.000000,2021-03-16 02:02:27.000000,2021-03-08 01:03:25.649140,2021-03-16 02:02:27.350461,,PO04956,done,Partner Locations/Vendors,WH/Input,
4456,Receipts,WH/IN/06529,2021-04-20 05:19:48.000000,2021-04-15 06:00:55.000000,2021-04-13 23:12:42.192222,2021-04-15 06:00:55.454946,,PO05116,done,Partner Locations/Vendors,WH/Input,
3909,Receipts,WH/IN/06297,2021-03-17 01:40:45.000000,,2021-03-10 01:47:31.813003,2021-03-10 01:47:31.813003,,PO04974,assigned,Partner Locations/Vendors,WH/Input,
3994,Receipts,WH/IN/06342,2021-03-09 22:51:41.000000,2021-03-16 02:44:56.000000,2021-03-15 23:33:20.911210,2021-03-16 02:44:52.030073,,PO04972,done,Partner Locations/Vendors,WH/Input,22402.0
3955,Receipts,WH/IN/06325,2021-03-19 01:12:24.000000,2021-03-21 23:13:29.000000,2021-03-12 00:24:28.322154,2021-03-21 23:13:29.590561,,PO04982,done,Partner Locations/Vendors,WH/Input,
3856,Goods Inwards Inspection,WH/GI/550,2021-01-05 11:37:03.000000,2021-03-10 21:28:22.000000,2021-03-08 00:36:49.289540,2021-03-10 21:28:22.441850,WH/GI/421,PO04524,done,WH/Input,WH/Stock,
3348,Receipts,WH/IN/06053,2021-03-12 04:36:42.000000,2021-03-11 00:31:43.000000,2021-02-08 03:55:20.444889,2021-03-11 00:31:42.390220,WH/IN/05995,PO04766,done,Partner Locations/Vendors,WH/Input,280.0
3982,Receipts,WH/IN/06334,2021-03-23 03:15:53.000000,2021-03-22 00:28:17.000000,2021-03-15 07:44:15.993343,2021-03-22 00:28:17.211959,,PO04825,done,Partner Locations/Vendors,WH/Input,
3855,Receipts,WH/IN/06269,2021-03-26 04:46:58.000000,2021-03-22 00:29:26.000000,2021-03-08 00:35:03.713937,2021-03-22 00:29:25.868959,,PO04950,done,Partner Locations/Vendors,WH/Input,
4034,Receipts,WH/IN/06359,2021-04-16 05:15:31.000000,2021-04-29 01:14:18.000000,2021-03-17 04:24:14.446196,2021-04-29 01:14:18.026905,,PO05010,done,Partner Locations/Vendors,WH/Input,
3976,Pick Components,WH/PC/00732,2021-03-15 02:50:28.000000,2021-03-15 02:52:13.000000,2021-03-15 02:50:42.707917,2021-03-15 02:52:12.642809,,MO/03671,done,WH/Stock,WH/WIP,
4876,Pick Components,WH/PC/00919,2021-05-07 12:04:04.000000,2021-05-10 01:24:22.000000,2021-05-07 12:04:20.385948,2021-05-10 01:24:22.356428,,MO/03834,done,WH/Stock,WH/WIP,
4206,Receipts,WH/IN/06431,2021-03-31 02:58:02.000000,2021-03-26 02:24:46.000000,2021-03-25 00:11:03.861891,2021-03-26 02:24:45.815137,,PO05047,done,Partner Locations/Vendors,WH/Input,
4012,Receipts,WH/IN/06348,2021-03-23 04:50:22.000000,2021-03-29 02:13:12.000000,2021-03-16 22:37:28.980378,2021-03-29 02:13:12.067042,,PO05001,done,Partner Locations/Vendors,WH/Input,
5912,Pick Components,WH/PC/01124,2021-07-02 04:40:28.000000,2021-07-02 05:12:31.000000,2021-07-02 04:41:10.118439,2021-07-02 05:12:29.497903,,MO/04007,done,WH/Stock,WH/WIP,
4245,Receipts,WH/IN/06445,2021-04-15 23:51:33.000000,2021-04-29 04:46:59.000000,2021-03-26 02:06:30.615238,2021-04-29 04:46:59.506124,,PO05051,done,Partner Locations/Vendors,WH/Input,
3983,Pick Components,WH/PC/00734,2021-03-15 20:57:14.000000,2021-03-15 21:08:15.000000,2021-03-15 20:57:35.201572,2021-03-15 21:08:14.955851,,MO/03673,done,WH/Stock,WH/WIP,
3071,Receipts,WH/IN/05947,2021-03-04 23:35:48.000000,2021-04-06 23:38:40.000000,2021-01-29 02:37:25.546217,2021-04-06 23:38:39.570247,,PO04742,done,Partner Locations/Vendors,WH/Input,4420.0
3995,Goods Inwards Inspection,WH/GI/558,2021-03-09 22:51:41.000000,2021-04-07 00:38:55.000000,2021-03-15 23:33:20.911210,2021-04-07 00:38:54.866501,,PO04972,done,WH/Input,WH/Stock,
3677,Receipts,WH/IN/06199,2021-03-14 21:56:57.000000,2021-03-23 03:51:11.000000,2021-02-26 05:32:58.709802,2021-03-23 03:51:09.105322,,PO04900,done,Partner Locations/Vendors,WH/Input,7062.0
4060,Receipts,WH/IN/06373,2021-03-18 03:41:24.000000,2021-03-18 03:42:08.000000,2021-03-18 03:41:54.691000,2021-03-18 03:42:08.085424,,PO04603,done,Partner Locations/Vendors,WH/Input,
4523,Receipts,WH/IN/06557,2021-04-29 23:28:51.000000,2021-04-29 23:40:08.000000,2021-04-17 04:50:46.114031,2021-04-29 23:40:08.466879,,PO05137,done,Partner Locations/Vendors,WH/Input,
4070,Receipts,WH/IN/06381,2021-03-18 03:48:36.000000,2021-03-18 03:49:04.000000,2021-03-18 03:48:49.888020,2021-03-18 03:49:03.932211,,PO04184,done,Partner Locations/Vendors,WH/Input,
4045,Receipts,WH/IN/06363,2021-03-21 23:42:45.000000,2021-03-29 03:32:51.000000,2021-03-17 23:50:43.267269,2021-03-29 03:32:51.529398,,PO05017,done,Partner Locations/Vendors,WH/Input,
4080,Pick Components,WH/PC/00748,2021-03-18 21:00:41.000000,2021-03-18 21:31:48.000000,2021-03-18 21:01:15.097713,2021-03-18 21:31:47.746220,,MO/03686,done,WH/Stock,WH/WIP,
