serial_num,bom_prod_id,bom_ref,bom_id,active,bom_line_id,product_id,product_qty,default_code
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32084.0,9493.0,1.0,1009496-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32085.0,9920.0,1.0,1009498-003
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32086.0,9922.0,1.0,1009538-002
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32087.0,9491.0,1.0,1009479-002
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32088.0,9446.0,2.0,1009449-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32089.0,9447.0,1.0,1009450-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32090.0,9448.0,1.0,1009451-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32091.0,9370.0,1.0,1009373-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32093.0,9589.0,1.0,1009592-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32094.0,9602.0,1.0,1009605-001
1007855-001,7855,GA - ECO1921,1086,True,27068.0,7684.0,1.0,1007684-003
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32096.0,9603.0,2.0,1009606-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32097.0,9894.0,1.0,1009897-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32098.0,9895.0,1.0,1009898-001
1007855-001,7855,GA - ECO1921,1086,True,27069.0,7810.0,1.0,1007810-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32100.0,9823.0,1.0,1009591-002
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32101.0,9896.0,1.0,1009899-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32102.0,9897.0,1.0,1009900-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32103.0,9892.0,1.0,1009895-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32104.0,9893.0,1.0,1009896-001
1009609-002,10338,NPI Rev 1 - 20221031 - 4ch 15deg v1b,1294,True,32092.0,9449.0,2.0,1009452-001
1009615-001,9615,NPI Rev2 - 20221018,1296,True,32116.0,9610.0,2.0,1009613-001
1009615-001,9615,NPI Rev2 - 20221018,1296,True,32117.0,9584.0,1.0,1009587-001
1009615-001,9615,NPI Rev2 - 20221018,1296,True,32118.0,9608.0,0.0,1009611-001
1009615-001,9615,NPI Rev2 - 20221018,1296,True,32119.0,9428.0,1.0,1009431-001
1009615-001,9615,NPI Rev2 - 20221018,1296,True,32115.0,10327.0,1.0,1009577-003
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32128.0,9623.0,2.0,1009626-001
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32129.0,9558.0,4.0,1009561-001
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32130.0,9624.0,1.0,1009627-001
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32131.0,9625.0,1.0,1009628-001
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32121.0,9616.0,4.0,1009619-001
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32122.0,9617.0,1.0,1009620-001
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32123.0,9618.0,8.0,1009621-001
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32124.0,9565.0,1.0,1009559-002
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32125.0,9620.0,8.0,1009623-001
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32126.0,9566.0,1.0,1009560-002
1009577-003,10330,NPI Rev 2 - 20221108,1298,True,32127.0,9622.0,2.0,1009625-001
1010398-001,10398,PDM - 20221115,1328,True,32748.0,9769.0,8.0,1009772-001
1010398-001,10398,PDM - 20221115,1328,True,32749.0,9770.0,2.0,1009773-001
1010398-001,10398,PDM - 20221115,1328,True,32750.0,9771.0,1.0,1009774-001
1010398-001,10398,PDM - 20221115,1328,True,32751.0,10495.0,1.0,1010498-001
1010398-001,10398,PDM - 20221115,1328,True,32752.0,10302.0,2.0,1010055-001
1010398-001,10398,PDM - 20221115,1328,True,32753.0,10496.0,2.0,1010499-001
1010398-001,10398,PDM - 20221115,1328,True,32754.0,10497.0,1.0,1010500-001
1010398-001,10398,PDM - 20221115,1328,True,32755.0,10498.0,1.0,1010501-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32411.0,10258.0,1.0,1010011-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32412.0,9706.0,2.0,1009709-001
