name,default_code,name,delay,min_qty,date_start,date_end,id
"DJ MODEL & TOOLING CO.,LIMITED",1003965-002,ENG:ADAPT:AL:NATURAL:DICEROS:SFF_LASER_CLAMP,28,50.0,,,3380
Ibsen Photonics A/S,2001336-003,SEN:CMP:OPT:SIL:GOKU:GRATING:600LN:42MM,84,100.0,,,3983
Ibsen Photonics A/S,2001336-003,SEN:CMP:OPT:SIL:GOKU:GRATING:600LN:42MM,84,200.0,,,3983
Ibsen Photonics A/S,2001336-003,SEN:CMP:OPT:SIL:GOKU:GRATING:600LN:42MM,84,500.0,,,3983
Ibsen Photonics A/S,2001336-003,SEN:CMP:OPT:SIL:GOKU:GRATING:600LN:42MM,84,1000.0,,,3983
Ibsen Photonics A/S,2001336-003,SEN:CMP:OPT:SIL:GOKU:GRATING:600LN:42MM,84,10000.0,,,3983
Mektronics Australia Pty Ltd,1005511-001,RIG:CMP:ELC:PLUG:ESD,0,1.0,,,3623
Lapp Australia Pty Ltd,1002119-001,Joiner:M16,7,1.0,,,3501
Lapp Australia Pty Ltd,1002131-001,Reducer M20 to M12,14,1.0,,,3753
"Hilltop Technology Laboratory, Inc.",1003727-001,SENS:ADAPT:ALU:NATURAL:GOKU5:PRISM2_BRACKET,21,0.0,,,4017
RS Components Pty Ltd,1005681-001,RIG:CMP:MEC:CONNECTOR:PANEL_MOUNT:XLR:FEMALE,0,1.0,,,3655
Zaber,1005665-001,RIG:CMP:MEC:STAGE:MOTORIZED:LINEAR:25MM,0,1.0,,,3691
Digi-Key Electronics,1001636-001,CONNECTOR:MOLEX:LC:5013300800,35,1.0,,,3175
Hangzhou Asia Infrastructure Tech. Co. Ltd (AITC),1005658-001,RIG:CMP:OPT:SPLITTER:90/10:1550NM,0,1.0,,,3726
Sourceman International Pty Ltd,1000793,ASSY:PCA:EWOK_MAIN:RIGID:RED,1,1.0,,,4427
Retech Precision Mould Limited,1001410-003,SEN:CMP:MEC:ACE:NAT:GOKU:CLAMP:GRATING,28,50.0,,,3827
Grand Venture Technology,1001410-003,SEN:CMP:MEC:ACE:NAT:GOKU:CLAMP:GRATING,35,100.0,,,3827
Grand Venture Technology,1001410-003,SEN:CMP:MEC:ACE:NAT:GOKU:CLAMP:GRATING,35,20.0,,,3827
Grand Venture Technology,1001410-003,SEN:CMP:MEC:ACE:NAT:GOKU:CLAMP:GRATING,35,50.0,,,3827
Ibsen Photonics A/S,2001336-002,SEN:CMP:OPT:SIL:GOKU:GRATING:600LN:42MM,1,500.0,,,3985
Ibsen Photonics A/S,2001336-002,SEN:CMP:OPT:SIL:GOKU:GRATING:600LN:42MM,35,10000.0,,,3985
Ibsen Photonics A/S,2001336-002,SEN:CMP:OPT:SIL:GOKU:GRATING:600LN:42MM,35,50.0,,,3985
Ibsen Photonics A/S,2001336-002,SEN:CMP:OPT:SIL:GOKU:GRATING:600LN:42MM,35,200.0,,,3985
Retech Precision Mould Limited,1001182-001,SEN:CMP:MEC:PEEK:COAXIAL:SHIM:CRYSTAL:30DEG,1,1.0,,,3933
Digi-Key Electronics,1001639-001,CONNECTOR:PICOCLASP:40WAY:501189-4010,35,1.0,,,3176
Process Rubber and Plastics Pty Ltd,1007033-001,SYS:CMP:PKG:EQUUS:FOAM:2CH:ACC (copy),21,50.0,,,7033
Process Rubber and Plastics Pty Ltd,1007033-001,SYS:CMP:PKG:EQUUS:FOAM:2CH:ACC (copy),21,10.0,,,7033
Open Wiring Systems,1002368-002,ASY:CBL:EQUUS:ENGINE:4CH,21,10.0,,,2761
Cubed3 Limited,1001391-001,SENS:ADAPT:BLACK:GOKU:FRONT_HOUSING,1,1.0,,,4022
Retech Precision Mould Limited,1001391-001,SENS:ADAPT:BLACK:GOKU:FRONT_HOUSING,1,1.0,,,4022
Microlam Australia Pty Ltd,1001391-001,SENS:ADAPT:BLACK:GOKU:FRONT_HOUSING,1,1.0,,,4022
Lapp Australia Pty Ltd,1002134-001,SYS:ADAPT:BLACK:PLASTIC:CONDUIT:RILL_PA_6:M32,14,1.0,,,4145
RS Components Pty Ltd,1005682-001,RIG:CMP:MEC:CONNECTOR:PANEL_MOUNT:XLR:MALE,0,1.0,,,3656
Lapp Australia Pty Ltd,1002124-001,Joiner:M20,7,1.0,,,3502
"DJ MODEL & TOOLING CO.,LIMITED",1009357-005,CMP:SAS:MEC:SP25:ROTOR  (copy),0,0.0,,,10329
Zaber,1005666-001,RIG:CMP:MEC:STAGE:MOTORIZED:LINEAR:50MM,0,1.0,,,3692
Crystran Ltd,1003716-001,SEN:CMP:OPT:SIL:GOKU:PRISM:9.89DEG,35,0.0,,,3992
Fuzhou Hitronics Optics Co Ltd (do not use - old),1003716-001,SEN:CMP:OPT:SIL:GOKU:PRISM:9.89DEG,35,0.0,,,3992
Solid Photon Inc,1003716-001,SEN:CMP:OPT:SIL:GOKU:PRISM:9.89DEG,35,0.0,,,3992
K-One Manufacturing Sdn Bhd,1003760-001,SENS:ADAPT:NATURAL:GOKU:P5_HOUSING_SEAL,14,0.0,,,4054
Lapp Australia Pty Ltd,1001653-001,CON:SENS:ADAPT:BLACK:PLASTIC:GOKU:STRAIN_RELIEF_NUT,14,1.0,,,4025
"DJ MODEL & TOOLING CO.,LIMITED",1001764-002,SENS:ADAPT:BLACK:GOKU3:EXTERNAL_MOUNTING_BRACKET_RAINBOW,21,1.0,,,4018
Retech Precision Mould Limited,1002324-001,RIG:PART:ALU:10-001-02-02:ABSORBER_HOLDING_ARM,14,1.0,,,3744
Hangzhou Asia Infrastructure Tech. Co. Ltd (AITC),1005657-001,RIG:CMP:OPT:SPLITTER:95/5:1550NM,0,1.0,,,3727
RS Components Pty Ltd,1004899-001,CMP:ELC:CONN:PPS_SMA_CAP,1,2.0,,,2932
Element14 Pty Ltd,1004899-001,CMP:ELC:CONN:PPS_SMA_CAP,14,25.0,,,2932
Digi-Key Electronics,1004899-001,CMP:ELC:CONN:PPS_SMA_CAP,56,1.0,,,2932
Hangzhou Asia Infrastructure Tech. Co. Ltd (AITC),1005656-001,RIG:CMP:OPT:SPLITTER:99/1:1550NM,0,1.0,,,3728
Blackwoods,1008242-001,CMP:MEC:TAPE:BLK:GAFFER (copy),21,10.0,,,8242
Test company,1001591-001,ENG:ADAPT:ALU:MILL:DICEROS:EMC_BOX_3_CABLE_CLAMP,14,1.0,,,3382
Retech Precision Mould Limited,1001591-001,ENG:ADAPT:ALU:MILL:DICEROS:EMC_BOX_3_CABLE_CLAMP,21,1.0,,,3382
Acrifab Manufacturing Pty Ltd T/As Polytech Plastic (Australasia),1003715-003,SENS:ADAPT:NATURAL:GOKU:P5_WINDOW,28,0.0,,,4055
"FUJIAN FRAN OPTICS CO., LTD ",1003715-003,SENS:ADAPT:NATURAL:GOKU:P5_WINDOW,21,0.0,,,4055
Thorlabs Inc,1006212-001,RIG:CMP:OPT:DUAL:SLEEVE:MATING,1,0.0,,,3714
Element14 Pty Ltd,1008643-001,CMP:MEC:CON:ADHESIVE:LOCTITE:AA326 (copy),0,0.0,,,8643
Grand Venture Technology,1001764-003,SENS:ADAPT:BLACK:GOKU3:EXTERNAL_MOUNTING_BRACKET_VERTICAL,28,50.0,,,4019
Grand Venture Technology,1001764-003,SENS:ADAPT:BLACK:GOKU3:EXTERNAL_MOUNTING_BRACKET_VERTICAL,28,20.0,,,4019
"DJ MODEL & TOOLING CO.,LIMITED",1001764-003,SENS:ADAPT:BLACK:GOKU3:EXTERNAL_MOUNTING_BRACKET_VERTICAL,28,50.0,,,4019
"DJ MODEL & TOOLING CO.,LIMITED",1001764-003,SENS:ADAPT:BLACK:GOKU3:EXTERNAL_MOUNTING_BRACKET_VERTICAL,28,10.0,,,4019
Digi-Key Electronics,1001641-001,CONNECTOR:PICOCLASPE:50WAY,35,1.0,,,3177
"DJ MODEL & TOOLING CO.,LIMITED",1009363-003,CMP:SAS:MEC:SP25:MOTOR_HOUSING_FRONT (copy),1,60.0,,,9501
"DJ MODEL & TOOLING CO.,LIMITED",1009363-003,CMP:SAS:MEC:SP25:MOTOR_HOUSING_FRONT (copy),1,15.0,,,9501
Micro Fasteners Pty Ltd,1002184-001,SCREW:HEX:CSK:ISO_10642:SS:M4:8MM,14,1.0,,,3781
FS,1006227-001,RIG:CMP:MEC:PLA:TRAY:SPLICE:12FIBRES,1,0.0,,,3682
Altronics,1004827-001,RIG:CMP:MEC:ENCLOSURE:300MM,1,0.0,,,3657
Lapp Australia Pty Ltd,1002132-001,Joiner:M32,7,1.0,,,3503
Altronics,1006213-001,RIG:CMP:ELC:POWER:LEAD:INLINE,1,0.0,,,3625
Retech Precision Mould Limited,1002321-001,RIG:PART:ALU:10-001-01-08:LENS_HOLDER_COMPLEX_CONTOUR,14,1.0,,,3741
Zaber,1005662-001,RIG:CMP:MEC:STAGE:MOTORIZED:ROTARY:60MM,0,1.0,,,3693
Lapp Australia Pty Ltd,1002120-001,SYS:ADAPT:BLACK:PLASTIC:GLAND:CONDUIT:M12:D7,14,1.0,,,4146
Lapp Australia Pty Ltd,1002123-001,Reducer:MR-M_M20_M12,14,1.0,,,3755
Wavetronics Pty Ltd,1000750,ASSY:PCA:BISON:RIGID:RED:DAUGHTERBOARD_35DBM,1,1.0,,,4413
Retech Precision Mould Limited,1001514-003, SENS:ADAPT:BLUE:GOKU:FRONT_HOUSING,1,1.0,,,4218
Wavetronics Pty Ltd,1000766,ASSY:PCA:CYLON:RIGID:RED:V4_WITH_APD,1,1.0,,,4417
Retech Precision Mould Limited,1001592-001,ENG:ADAPT:ALU:MILL:DICEROS:EMC_BOX_4_CABLE_CLAMP,14,1.0,,,3383
Microlam Australia Pty Ltd,1001390-001,SENS:ADAPT:BLACK:GOKU:BACK_HOUSING,1,1.0,,,4021
Cubed3 Limited,1001390-001,SENS:ADAPT:BLACK:GOKU:BACK_HOUSING,1,1.0,,,4021
Retech Precision Mould Limited,1001390-001,SENS:ADAPT:BLACK:GOKU:BACK_HOUSING,1,1.0,,,4021
4Cabling Pty Ltd,1005593-001,RIG:CMP:ELC:ADAPTER:USB:3_PORT,0,1.0,,,3597
